Item-no,Test02Picture01,Test02Option01,Test02Option02,CorrectAnswer,Critical,Condition
DP-01,GOI_KO_BLAR_BLOT.png,GOI_KO_BLAR_TA_02.png,GOI_KO_BLAR_TU_02.png,GOI_KO_BLAR_TA_02.png,Y,Dual-Plural
DP-02,PAU_KO_CHOR_BLOT.png,PAU_KO_CHOR_TI_02.png,PAU_KO_CHOR_TA_02.png,PAU_KO_CHOR_TA_02.png,Y,Dual-Plural
DP-03,GOI_KE_DREE_BLOT.png,GOI_KE_DREE_TA_02.png,GOI_KE_DREE_TU_02.png,GOI_KE_DREE_TU_02.png,Y,Dual-Plural
DP-04,PAU_KE_PHAI_BLOT.png,PAU_KE_PHAI_TU_02.png,PAU_KE_PHAI_TI_02.png,PAU_KE_PHAI_TU_02.png,N,Dual-Plural
DP-05,GOI_KE_SNUR_BLOT.png,GOI_KE_SNUR_TI_02.png,GOI_KE_SNUR_TA_02.png,GOI_KE_SNUR_TI_02.png,Y,Dual-Plural
DP-06,PAU_KE_STOO_BLOT.png,PAU_KE_STOO_TU_02.png,PAU_KE_STOO_TI_02.png,PAU_KE_STOO_TI_02.png,N,Dual-Plural
DP-07,GOI_KO_STOO_BLOT.png,GOI_KO_STOO_TU_02.png,GOI_KO_STOO_TA_02.png,GOI_KO_STOO_TA_02.png,Y,Dual-Plural
DP-08,PAU_KO_BLAR_BLOT.png,PAU_KO_BLAR_TA_02.png,PAU_KO_BLAR_TI_02.png,PAU_KO_BLAR_TA_02.png,Y,Dual-Plural
DP-09,GOI_KE_CHOR_BLOT.png,GOI_KE_CHOR_TU_02.png,GOI_KE_CHOR_TA_02.png,GOI_KE_CHOR_TU_02.png,Y,Dual-Plural
DP-10,PAU_KE_DREE_BLOT.png,PAU_KE_DREE_TI_02.png,PAU_KE_DREE_TU_02.png,PAU_KE_DREE_TU_02.png,N,Dual-Plural
DP-11,GOI_KE_PHAI_BLOT.png,GOI_KE_PHAI_TA_02.png,GOI_KE_PHAI_TI_02.png,GOI_KE_PHAI_TI_02.png,Y,Dual-Plural
DP-12,PAU_KE_SNUR_BLOT.png,PAU_KE_SNUR_TI_02.png,PAU_KE_SNUR_TU_02.png,PAU_KE_SNUR_TI_02.png,N,Dual-Plural
DP-13,GOI_KO_SNUR_BLOT.png,GOI_KO_SNUR_TA_02.png,GOI_KO_SNUR_TU_02.png,GOI_KO_SNUR_TA_02.png,Y,Dual-Plural
DP-14,PAU_KO_STOO_BLOT.png,PAU_KO_STOO_TI_02.png,PAU_KO_STOO_TA_02.png,PAU_KO_STOO_TA_02.png,Y,Dual-Plural
DP-15,GOI_KE_BLAR_BLOT.png,GOI_KE_BLAR_TA_02.png,GOI_KE_BLAR_TU_02.png,GOI_KE_BLAR_TU_02.png,Y,Dual-Plural
DP-16,PAU_KE_CHOR_BLOT.png,PAU_KE_CHOR_TU_02.png,PAU_KE_CHOR_TI_02.png,PAU_KE_CHOR_TU_02.png,N,Dual-Plural
DP-17,GOI_KE_DREE_BLOT.png,GOI_KE_DREE_TI_02.png,GOI_KE_DREE_TA_02.png,GOI_KE_DREE_TI_02.png,Y,Dual-Plural
DP-18,PAU_KE_PHAI_BLOT.png,PAU_KE_PHAI_TU_02.png,PAU_KE_PHAI_TI_02.png,PAU_KE_PHAI_TI_02.png,N,Dual-Plural
DP-19,GOI_KO_PHAI_BLOT.png,GOI_KO_PHAI_TU_02.png,GOI_KO_PHAI_TA_02.png,GOI_KO_PHAI_TA_02.png,Y,Dual-Plural
DP-20,PAU_KO_SNUR_BLOT.png,PAU_KO_SNUR_TA_02.png,PAU_KO_SNUR_TI_02.png,PAU_KO_SNUR_TA_02.png,Y,Dual-Plural
DP-21,GOI_KE_STOO_BLOT.png,GOI_KE_STOO_TU_02.png,GOI_KE_STOO_TA_02.png,GOI_KE_STOO_TU_02.png,Y,Dual-Plural
DP-22,PAU_KE_BLAR_BLOT.png,PAU_KE_BLAR_TI_02.png,PAU_KE_BLAR_TU_02.png,PAU_KE_BLAR_TU_02.png,N,Dual-Plural
DP-23,GOI_KE_CHOR_BLOT.png,GOI_KE_CHOR_TA_02.png,GOI_KE_CHOR_TI_02.png,GOI_KE_CHOR_TI_02.png,Y,Dual-Plural
DP-24,PAU_KE_DREE_BLOT.png,PAU_KE_DREE_TI_02.png,PAU_KE_DREE_TU_02.png,PAU_KE_DREE_TI_02.png,N,Dual-Plural
DP-25,GOI_KO_DREE_BLOT.png,GOI_KO_DREE_TA_02.png,GOI_KO_DREE_TU_02.png,GOI_KO_DREE_TA_02.png,Y,Dual-Plural
DP-26,PAU_KO_PHAI_BLOT.png,PAU_KO_PHAI_TI_02.png,PAU_KO_PHAI_TA_02.png,PAU_KO_PHAI_TA_02.png,Y,Dual-Plural
DP-27,GOI_KE_SNUR_BLOT.png,GOI_KE_SNUR_TA_02.png,GOI_KE_SNUR_TU_02.png,GOI_KE_SNUR_TU_02.png,Y,Dual-Plural
DP-28,PAU_KE_STOO_BLOT.png,PAU_KE_STOO_TU_02.png,PAU_KE_STOO_TI_02.png,PAU_KE_STOO_TU_02.png,N,Dual-Plural
DP-29,GOI_KE_BLAR_BLOT.png,GOI_KE_BLAR_TI_02.png,GOI_KE_BLAR_TA_02.png,GOI_KE_BLAR_TI_02.png,Y,Dual-Plural
DP-30,PAU_KE_CHOR_BLOT.png,PAU_KE_CHOR_TU_02.png,PAU_KE_CHOR_TI_02.png,PAU_KE_CHOR_TI_02.png,N,Dual-Plural
