Item-no,Test02Picture01,Test02Option01,Test02Option02,CorrectAnswer,Critical,Condition
SP-01,GOI_KE_BLAR_BLOT.png,GOI_KE_BLAR_TA_02.png,GOI_KE_BLAR_TU_02.png,GOI_KE_BLAR_TA_02.png,Y,Singular-Plural
SP-02,PAU_KE_CHOR_BLOT.png,PAU_KE_CHOR_TI_02.png,PAU_KE_CHOR_TA_02.png,PAU_KE_CHOR_TA_02.png,N,Singular-Plural
SP-03,GOI_KO_DREE_BLOT.png,GOI_KO_DREE_TA_02.png,GOI_KO_DREE_TU_02.png,GOI_KO_DREE_TU_02.png,Y,Singular-Plural
SP-04,PAU_KO_PHAI_BLOT.png,PAU_KO_PHAI_TU_02.png,PAU_KO_PHAI_TI_02.png,PAU_KO_PHAI_TU_02.png,Y,Singular-Plural
SP-05,GOI_KE_SNUR_BLOT.png,GOI_KE_SNUR_TI_02.png,GOI_KE_SNUR_TA_02.png,GOI_KE_SNUR_TI_02.png,N,Singular-Plural
SP-06,PAU_KE_STOO_BLOT.png,PAU_KE_STOO_TU_02.png,PAU_KE_STOO_TI_02.png,PAU_KE_STOO_TI_02.png,Y,Singular-Plural
SP-07,GOI_KE_STOO_BLOT.png,GOI_KE_STOO_TU_02.png,GOI_KE_STOO_TA_02.png,GOI_KE_STOO_TA_02.png,Y,Singular-Plural
SP-08,PAU_KE_BLAR_BLOT.png,PAU_KE_BLAR_TA_02.png,PAU_KE_BLAR_TI_02.png,PAU_KE_BLAR_TA_02.png,N,Singular-Plural
SP-09,GOI_KO_CHOR_BLOT.png,GOI_KO_CHOR_TU_02.png,GOI_KO_CHOR_TA_02.png,GOI_KO_CHOR_TU_02.png,Y,Singular-Plural
SP-10,PAU_KO_DREE_BLOT.png,PAU_KO_DREE_TI_02.png,PAU_KO_DREE_TU_02.png,PAU_KO_DREE_TU_02.png,Y,Singular-Plural
SP-11,GOI_KE_PHAI_BLOT.png,GOI_KE_PHAI_TA_02.png,GOI_KE_PHAI_TI_02.png,GOI_KE_PHAI_TI_02.png,N,Singular-Plural
SP-12,PAU_KE_SNUR_BLOT.png,PAU_KE_SNUR_TI_02.png,PAU_KE_SNUR_TU_02.png,PAU_KE_SNUR_TI_02.png,Y,Singular-Plural
SP-13,GOI_KE_SNUR_BLOT.png,GOI_KE_SNUR_TA_02.png,GOI_KE_SNUR_TU_02.png,GOI_KE_SNUR_TA_02.png,Y,Singular-Plural
SP-14,PAU_KE_STOO_BLOT.png,PAU_KE_STOO_TI_02.png,PAU_KE_STOO_TA_02.png,PAU_KE_STOO_TA_02.png,N,Singular-Plural
SP-15,GOI_KO_BLAR_BLOT.png,GOI_KO_BLAR_TA_02.png,GOI_KO_BLAR_TU_02.png,GOI_KO_BLAR_TU_02.png,Y,Singular-Plural
SP-16,PAU_KO_CHOR_BLOT.png,PAU_KO_CHOR_TU_02.png,PAU_KO_CHOR_TI_02.png,PAU_KO_CHOR_TU_02.png,Y,Singular-Plural
SP-17,GOI_KE_DREE_BLOT.png,GOI_KE_DREE_TI_02.png,GOI_KE_DREE_TA_02.png,GOI_KE_DREE_TI_02.png,N,Singular-Plural
SP-18,PAU_KE_PHAI_BLOT.png,PAU_KE_PHAI_TU_02.png,PAU_KE_PHAI_TI_02.png,PAU_KE_PHAI_TI_02.png,Y,Singular-Plural
SP-19,GOI_KE_PHAI_BLOT.png,GOI_KE_PHAI_TU_02.png,GOI_KE_PHAI_TA_02.png,GOI_KE_PHAI_TA_02.png,Y,Singular-Plural
SP-20,PAU_KE_SNUR_BLOT.png,PAU_KE_SNUR_TA_02.png,PAU_KE_SNUR_TI_02.png,PAU_KE_SNUR_TA_02.png,N,Singular-Plural
SP-21,GOI_KO_STOO_BLOT.png,GOI_KO_STOO_TU_02.png,GOI_KO_STOO_TA_02.png,GOI_KO_STOO_TU_02.png,Y,Singular-Plural
SP-22,PAU_KO_BLAR_BLOT.png,PAU_KO_BLAR_TI_02.png,PAU_KO_BLAR_TU_02.png,PAU_KO_BLAR_TU_02.png,Y,Singular-Plural
SP-23,GOI_KE_CHOR_BLOT.png,GOI_KE_CHOR_TA_02.png,GOI_KE_CHOR_TI_02.png,GOI_KE_CHOR_TI_02.png,N,Singular-Plural
SP-24,PAU_KE_DREE_BLOT.png,PAU_KE_DREE_TI_02.png,PAU_KE_DREE_TU_02.png,PAU_KE_DREE_TI_02.png,Y,Singular-Plural
SP-25,GOI_KE_DREE_BLOT.png,GOI_KE_DREE_TA_02.png,GOI_KE_DREE_TU_02.png,GOI_KE_DREE_TA_02.png,Y,Singular-Plural
SP-26,PAU_KE_PHAI_BLOT.png,PAU_KE_PHAI_TI_02.png,PAU_KE_PHAI_TA_02.png,PAU_KE_PHAI_TA_02.png,N,Singular-Plural
SP-27,GOI_KO_SNUR_BLOT.png,GOI_KO_SNUR_TA_02.png,GOI_KO_SNUR_TU_02.png,GOI_KO_SNUR_TU_02.png,Y,Singular-Plural
SP-28,PAU_KO_STOO_BLOT.png,PAU_KO_STOO_TU_02.png,PAU_KO_STOO_TI_02.png,PAU_KO_STOO_TU_02.png,Y,Singular-Plural
SP-29,GOI_KE_BLAR_BLOT.png,GOI_KE_BLAR_TI_02.png,GOI_KE_BLAR_TA_02.png,GOI_KE_BLAR_TI_02.png,N,Singular-Plural
SP-30,PAU_KE_CHOR_BLOT.png,PAU_KE_CHOR_TU_02.png,PAU_KE_CHOR_TI_02.png,PAU_KE_CHOR_TI_02.png,Y,Singular-Plural
SP-31,GOI_KE_CHOR_BLOT.png,GOI_KE_CHOR_TU_02.png,GOI_KE_CHOR_TA_02.png,GOI_KE_CHOR_TA_02.png,Y,Singular-Plural
SP-32,PAU_KE_DREE_BLOT.png,PAU_KE_DREE_TA_02.png,PAU_KE_DREE_TI_02.png,PAU_KE_DREE_TA_02.png,N,Singular-Plural
SP-33,GOI_KO_PHAI_BLOT.png,GOI_KO_PHAI_TU_02.png,GOI_KO_PHAI_TA_02.png,GOI_KO_PHAI_TU_02.png,Y,Singular-Plural
SP-34,PAU_KO_SNUR_BLOT.png,PAU_KO_SNUR_TI_02.png,PAU_KO_SNUR_TU_02.png,PAU_KO_SNUR_TU_02.png,Y,Singular-Plural
SP-35,GOI_KE_STOO_BLOT.png,GOI_KE_STOO_TA_02.png,GOI_KE_STOO_TI_02.png,GOI_KE_STOO_TI_02.png,N,Singular-Plural
SP-36,PAU_KE_BLAR_BLOT.png,PAU_KE_BLAR_TI_02.png,PAU_KE_BLAR_TU_02.png,PAU_KE_BLAR_TI_02.png,Y,Singular-Plural
