Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: TestCorrectAnswer,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1685030332961,25/05/2023 15:58:52,1685033932961,1,25/05/2023 17:58:52,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1685030341367,25/05/2023 15:59:01,1685033941367,1,25/05/2023 17:59:01,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,1,Instructions,Instructions,l6tegj,1,continue,,8433.597000047685,8425.805,8433.597000047685,8433.597000047685,8425.805,8433.597000047685,1,8433.597000047685,0,0,,Click To Continue,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1685030351241,25/05/2023 15:59:11,1685033951241,1,25/05/2023 17:59:11,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,1,Training,Training,34efq7,1,response,PAUKO PHAITA,2464.947,9875.399000000001,9881.192000023842,2464.947,9875.399000000001,9881.192000023842,0,2464.947,7416.245000023842,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,PAU,_,KO,PHAI,_01.png,_02.png,,,,,,,,PAU_KO_PHAI_TA_01.png,PAU_KO_PHAI_TA_02.png,PAUKO PHAITA!,,,,,,,,,
4,1685030358184,25/05/2023 15:59:18,1685033958184,1,25/05/2023 17:59:18,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,1,Training,Training,34efq7,1,response,PAUKO PHAITA!,2464.947,16819.456000000002,16824.392000071526,2464.947,16819.456000000002,16824.392000071526,1,2464.947,14359.445000071526,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,PAU,_,KO,PHAI,_01.png,_02.png,,,,,,,,PAU_KO_PHAI_TA_01.png,PAU_KO_PHAI_TA_02.png,PAUKO PHAITA!,,,,,,,,,
5,1685030367400,25/05/2023 15:59:27,1685033967400,1,25/05/2023 17:59:27,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,2,Training,Training,34efq7,1,response,GOIKE SNURTU!,3014.5,9209.278999999995,9221.73600002384,3014.5,9209.278999999995,9221.73600002384,1,3014.5,6207.2360000238405,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,GOI,_,KE,SNUR,_01.png,_02.png,,,,,,,,GOI_KE_SNUR_TU_01.png,GOI_KE_SNUR_TU_02.png,GOIKE SNURTU!,,,,,,,,,
6,1685030376509,25/05/2023 15:59:36,1685033976509,1,25/05/2023 17:59:36,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,3,Training,Training,34efq7,1,response,PAUKE STOOTI!,2364.8380000000034,9109.257000000005,9118.757000095371,2364.8380000000034,9109.257000000005,9118.757000095371,1,2364.8380000000034,6753.919000095368,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,PAU,_,KE,STOO,_01.png,_02.png,,,,,,,,PAU_KE_STOO_TI_01.png,PAU_KE_STOO_TI_02.png,PAUKE STOOTI!,,,,,,,,,
7,1685030383513,25/05/2023 15:59:43,1685033983513,1,25/05/2023 17:59:43,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,4,Training,Training,34efq7,1,response,PAUKE CHORTU!,1998.0639999999985,7010.606,7013.70000002384,1998.0639999999985,7010.606,7013.70000002384,1,1998.0639999999985,5015.636000023842,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,PAU,_,KE,CHOR,_01.png,_02.png,,,,,,,,PAU_KE_CHOR_TU_01.png,PAU_KE_CHOR_TU_02.png,PAUKE CHORTU!,,,,,,,,,
8,1685030391364,25/05/2023 15:59:51,1685033991364,1,25/05/2023 17:59:51,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,5,Training,Training,34efq7,1,response,GOIKO BLARTA!,2448.2649999999994,7843.614999999998,7853.993999999999,2448.2649999999994,7843.614999999998,7853.993999999999,1,2448.2649999999994,5405.728999999999,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,GOI,_,KO,BLAR,_01.png,_02.png,,,,,,,,GOI_KO_BLAR_TA_01.png,GOI_KO_BLAR_TA_02.png,GOIKO BLARTA!,,,,,,,,,
9,1685030401300,25/05/2023 16:00:01,1685034001300,1,25/05/2023 18:00:01,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,6,Training,Training,34efq7,1,response,GOIKE DREETI!,1948.372000000003,9941.892999999996,9946.179000071526,1948.372000000003,9941.892999999996,9946.179000071526,1,1948.372000000003,7997.807000071523,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,GOI,_,KE,DREE,_01.png,_02.png,,,,,,,,GOI_KE_DREE_TI_01.png,GOI_KE_DREE_TI_02.png,GOIKE DREETI!,,,,,,,,,
10,1685030407361,25/05/2023 16:00:07,1685034007361,1,25/05/2023 18:00:07,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,7,Training,Training,34efq7,1,response,GOIKE CHORTI!,1765.320000000007,6061.573000000004,6066.186000047688,1765.320000000007,6061.573000000004,6066.186000047688,1,1765.320000000007,4300.866000047681,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,GOI,_,KE,CHOR,_01.png,_02.png,,,,,,,,GOI_KE_CHOR_TI_01.png,GOI_KE_CHOR_TI_02.png,GOIKE CHORTI!,,,,,,,,,
11,1685030414476,25/05/2023 16:00:14,1685034014476,1,25/05/2023 18:00:14,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,8,Training,Training,34efq7,1,response,GOIKO STOOTA!,1548.926999999996,7110.667000000001,7119.213000071526,1548.926999999996,7110.667000000001,7119.213000071526,1,1548.926999999996,5570.28600007153,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,GOI,_,KO,STOO,_01.png,_02.png,,,,,,,,GOI_KO_STOO_TA_01.png,GOI_KO_STOO_TA_02.png,GOIKO STOOTA!,,,,,,,,,
12,1685030420137,25/05/2023 16:00:20,1685034020137,1,25/05/2023 18:00:20,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,9,Training,Training,34efq7,1,response,GOIKE PHAITU!,2165,5662.039999999994,5669.146000095367,2165,5662.039999999994,5669.146000095367,1,2165,3504.1460000953666,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,GOI,_,KE,PHAI,_01.png,_02.png,,,,,,,,GOI_KE_PHAI_TU_01.png,GOI_KE_PHAI_TU_02.png,GOIKE PHAITU!,,,,,,,,,
13,1685030425506,25/05/2023 16:00:25,1685034025506,1,25/05/2023 18:00:25,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,10,Training,Training,34efq7,1,response,PAUKO DREETA!,1249.2560000000085,5362.326000000001,5376.206000000006,1249.2560000000085,5362.326000000001,5376.206000000006,1,1249.2560000000085,4126.949999999997,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,PAU,_,KO,DREE,_01.png,_02.png,,,,,,,,PAU_KO_DREE_TA_01.png,PAU_KO_DREE_TA_02.png,PAUKO DREETA!,,,,,,,,,
14,1685030434233,25/05/2023 16:00:34,1685034034233,1,25/05/2023 18:00:34,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,11,Training,Training,34efq7,1,response,PAUKE BLARTU!,1515.6280000000115,8725.99900000001,8741.080000047688,1515.6280000000115,8725.99900000001,8741.080000047688,1,1515.6280000000115,7225.452000047677,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,PAU,_,KE,BLAR,_01.png,_02.png,,,,,,,,PAU_KE_BLAR_TU_01.png,PAU_KE_BLAR_TU_02.png,PAUKE BLARTU!,,,,,,,,,
15,1685030440143,25/05/2023 16:00:40,1685034040143,1,25/05/2023 18:00:40,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,12,Training,Training,34efq7,1,response,PAUKE SNURTI!,1781.9130000000005,5911.983999999997,5925.781000095361,1781.9130000000005,5911.983999999997,5925.781000095361,1,1781.9130000000005,4143.868000095361,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,PAU,_,KE,SNUR,_01.png,_02.png,,,,,,,,PAU_KE_SNUR_TI_01.png,PAU_KE_SNUR_TI_02.png,PAUKE SNURTI!,,,,,,,,,
16,1685030444968,25/05/2023 16:00:44,1685034044968,1,25/05/2023 18:00:44,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,13,Training,Training,34efq7,1,response,PAUKE STOOTU!,1249.0979999999981,4829.2179999999935,4839.197000071523,1249.0979999999981,4829.2179999999935,4839.197000071523,1,1249.0979999999981,3590.0990000715246,0,,Single Text Entry,TextTraining02,4,object-97,Training,,3, ,PAU,_,KE,STOO,_01.png,_02.png,,,,,,,,PAU_KE_STOO_TU_01.png,PAU_KE_STOO_TU_02.png,PAUKE STOOTU!,,,,,,,,,
17,1685030450075,25/05/2023 16:00:50,1685034050075,1,25/05/2023 18:00:50,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,14,Training,Training,34efq7,1,response,GOIKE BLARTI!,1665.5160000000033,5112.524000000005,5116.579000095371,1665.5160000000033,5112.524000000005,5116.579000095371,1,1665.5160000000033,3451.063000095368,0,,Single Text Entry,TextTraining02,4,object-97,Training,,3, ,GOI,_,KE,BLAR,_01.png,_02.png,,,,,,,,GOI_KE_BLAR_TI_01.png,GOI_KE_BLAR_TI_02.png,GOIKE BLARTI!,,,,,,,,,
18,1685030455941,25/05/2023 16:00:55,1685034055941,1,25/05/2023 18:00:55,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,15,Training,Training,34efq7,1,response,PAUKE PHAITI!,1115.7119999999995,5861.904999999999,5869.855000047683,1115.7119999999995,5861.904999999999,5869.855000047683,1,1115.7119999999995,4754.143000047683,0,,Single Text Entry,TextTraining02,4,object-97,Training,,3, ,PAU,_,KE,PHAI,_01.png,_02.png,,,,,,,,PAU_KE_PHAI_TI_01.png,PAU_KE_PHAI_TI_02.png,PAUKE PHAITI!,,,,,,,,,
19,1685030461685,25/05/2023 16:01:01,1685034061685,1,25/05/2023 18:01:01,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,16,Training,Training,34efq7,1,response,GOIKE DREETU!,1415.6640000000043,5745.252999999997,5751.75,1415.6640000000043,5745.252999999997,5751.75,1,1415.6640000000043,4336.085999999996,0,,Single Text Entry,TextTraining02,4,object-97,Training,,3, ,GOI,_,KE,DREE,_01.png,_02.png,,,,,,,,GOI_KE_DREE_TU_01.png,GOI_KE_DREE_TU_02.png,GOIKE DREETU!,,,,,,,,,
20,1685030467904,25/05/2023 16:01:07,1685034067904,1,25/05/2023 18:01:07,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,17,Training,Training,34efq7,1,response,PAUKO CHORTA!,2381.4489999999932,6211.543999999994,6225.597000023845,2381.4489999999932,6211.543999999994,6225.597000023845,1,2381.4489999999932,3844.1480000238516,0,,Single Text Entry,TextTraining02,4,object-97,Training,,3, ,PAU,_,KO,CHOR,_01.png,_02.png,,,,,,,,PAU_KO_CHOR_TA_01.png,PAU_KO_CHOR_TA_02.png,PAUKO CHORTA!,,,,,,,,,
21,1685030474224,25/05/2023 16:01:14,1685034074224,1,25/05/2023 18:01:14,128616,14,task-eg4y,,29725605,60e55bb59cfd0aa9803b4470,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,18,Training,Training,34efq7,1,response,GOIKO SNURTA!,1482.1630000000005,6327.907999999996,6334.753000071534,1482.1630000000005,6327.907999999996,6334.753000071534,1,1482.1630000000005,4852.590000071534,0,,Single Text Entry,TextTraining02,4,object-97,Training,,3, ,GOI,_,KO,SNUR,_01.png,_02.png,,,,,,,,GOI_KO_SNUR_TA_01.png,GOI_KO_SNUR_TA_02.png,GOIKO SNURTA!,,,,,,,,,
