Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: CorrectAnswer,Spreadsheet: TestCorrectAnswer,Manipulation: Spreadsheet,Store: correct,Store: total
1,1685030126839,25/05/2023 15:55:26,1685033726839,1,25/05/2023 17:55:26,128616,14,task-gbr3,,29725462,612f5d6f99917199135d35a7,8844135,,complete,,646f92088671d7cd7a0dae8b,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 113.0.0.0,1366x768,1366x649,,Noun-Number Testing,4,Singular-Dual,Noun Number Testing,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1685030132295,25/05/2023 15:55:32,1685033732295,1,25/05/2023 17:55:32,128616,14,task-gbr3,,29725462,612f5d6f99917199135d35a7,8844135,,complete,,646f92088671d7cd7a0dae8b,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 113.0.0.0,1366x768,1366x649,,Noun-Number Testing,4,Singular-Dual,Noun Number Testing,1,Instructions02,Instructions02,g2b1f4,1,continue,,5491.531,5481.373,5491.531,5491.531,5481.373,5491.531,1,5491.531,0,0,,Click To Continue,Continue Button,2,object-79,Instructions02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1685030136831,25/05/2023 15:55:36,1685033736831,1,25/05/2023 17:55:36,128616,14,task-gbr3,,29725462,612f5d6f99917199135d35a7,8844135,,complete,,646f92088671d7cd7a0dae8b,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 113.0.0.0,1366x768,1366x649,,Noun-Number Testing,4,Singular-Dual,Noun Number Testing,1,Testing02,Testing 02,hvzr65,1,response,DREE_TI_02.png,4547.057999999442,4531.7789999999995,4547.057999999442,4547.057999999442,4531.7789999999995,4547.057999999442,0,4547.057999999442,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,,_,TA,DREE,_01.png,_02.png,,,,,DREE_TA_01.png,DREE_TI_02.png,DREE_TA_02.png,,,,,,,,,DREE_TA_02.png,,,
4,1685030139459,25/05/2023 15:55:39,1685033739459,1,25/05/2023 17:55:39,128616,14,task-gbr3,,29725462,612f5d6f99917199135d35a7,8844135,,complete,,646f92088671d7cd7a0dae8b,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 113.0.0.0,1366x768,1366x649,,Noun-Number Testing,4,Singular-Dual,Noun Number Testing,2,Testing02,Testing 02,hvzr65,1,response,CHOR_TI_02.png,2643.379000000001,2632.3110000000015,2643.379000000001,2643.379000000001,2632.3110000000015,2643.379000000001,1,2643.379000000001,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,,_,TI,CHOR,_01.png,_02.png,,,,,CHOR_TI_01.png,CHOR_TU_02.png,CHOR_TI_02.png,,,,,,,,,CHOR_TI_02.png,,,
5,1685030141180,25/05/2023 15:55:41,1685033741180,1,25/05/2023 17:55:41,128616,14,task-gbr3,,29725462,612f5d6f99917199135d35a7,8844135,,complete,,646f92088671d7cd7a0dae8b,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 113.0.0.0,1366x768,1366x649,,Noun-Number Testing,4,Singular-Dual,Noun Number Testing,3,Testing02,Testing 02,hvzr65,1,response,SNUR_TU_02.png,1731.7680000001856,1716.116,1731.7680000001856,1731.7680000001856,1716.116,1731.7680000001856,0,1731.7680000001856,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,,_,TA,SNUR,_01.png,_02.png,,,,,SNUR_TA_01.png,SNUR_TA_02.png,SNUR_TU_02.png,,,,,,,,,SNUR_TA_02.png,,,
6,1685030143171,25/05/2023 15:55:43,1685033743171,1,25/05/2023 17:55:43,128616,14,task-gbr3,,29725462,612f5d6f99917199135d35a7,8844135,,complete,,646f92088671d7cd7a0dae8b,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 113.0.0.0,1366x768,1366x649,,Noun-Number Testing,4,Singular-Dual,Noun Number Testing,4,Testing02,Testing 02,hvzr65,1,response,BLAR_TU_02.png,2006.8519999994405,1999.2829999999976,2006.8519999994405,2006.8519999994405,1999.2829999999976,2006.8519999994405,1,2006.8519999994405,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,,_,TU,BLAR,_01.png,_02.png,,,,,BLAR_TU_01.png,BLAR_TU_02.png,BLAR_TI_02.png,,,,,,,,,BLAR_TU_02.png,,,
7,1685030144844,25/05/2023 15:55:44,1685033744844,1,25/05/2023 17:55:44,128616,14,task-gbr3,,29725462,612f5d6f99917199135d35a7,8844135,,complete,,646f92088671d7cd7a0dae8b,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 113.0.0.0,1366x768,1366x649,,Noun-Number Testing,4,Singular-Dual,Noun Number Testing,5,Testing02,Testing 02,hvzr65,1,response,PHAI_TA_02.png,1680.1690000000017,1666.1010000000024,1680.1690000000017,1680.1690000000017,1666.1010000000024,1680.1690000000017,0,1680.1690000000017,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,,_,TI,PHAI,_01.png,_02.png,,,,,PHAI_TI_01.png,PHAI_TI_02.png,PHAI_TA_02.png,,,,,,,,,PHAI_TI_02.png,,,
8,1685030146900,25/05/2023 15:55:46,1685033746900,1,25/05/2023 17:55:46,128616,14,task-gbr3,,29725462,612f5d6f99917199135d35a7,8844135,,complete,,646f92088671d7cd7a0dae8b,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 113.0.0.0,1366x768,1366x649,,Noun-Number Testing,4,Singular-Dual,Noun Number Testing,6,Testing02,Testing 02,hvzr65,1,response,STOO_TA_02.png,2070.2680000001856,2065.922999999999,2070.2680000001856,2070.2680000001856,2065.922999999999,2070.2680000001856,0,2070.2680000001856,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,,_,TU,STOO,_01.png,_02.png,,,,,STOO_TU_01.png,STOO_TA_02.png,STOO_TU_02.png,,,,,,,,,STOO_TU_02.png,,,
9,1685030148372,25/05/2023 15:55:48,1685033748372,1,25/05/2023 17:55:48,128616,14,task-gbr3,,29725462,612f5d6f99917199135d35a7,8844135,,complete,,646f92088671d7cd7a0dae8b,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 113.0.0.0,1366x768,1366x649,,Noun-Number Testing,4,Singular-Dual,Noun Number Testing,7,Testing02,Testing 02,hvzr65,1,response,PHAI_TI_02.png,1476.4449999998142,1466.1820000000007,1476.4449999998142,1476.4449999998142,1466.1820000000007,1476.4449999998142,0,1476.4449999998142,0,0,,Click Response,ResponseA,3,object-86,Testing02,,2,,,_,TU,PHAI,_01.png,_02.png,,,,,PHAI_TU_01.png,PHAI_TI_02.png,PHAI_TU_02.png,,,,,,,,,PHAI_TU_02.png,,,
10,1685030150059,25/05/2023 15:55:50,1685033750059,1,25/05/2023 17:55:50,128616,14,task-gbr3,,29725462,612f5d6f99917199135d35a7,8844135,,complete,,646f92088671d7cd7a0dae8b,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 113.0.0.0,1366x768,1366x649,,Noun-Number Testing,4,Singular-Dual,Noun Number Testing,8,Testing02,Testing 02,hvzr65,1,response,BLAR_TU_02.png,1697.0629999996272,1682.7479999999996,1697.0629999996272,1697.0629999996272,1682.7479999999996,1697.0629999996272,0,1697.0629999996272,0,0,,Click Response,ResponseA,3,object-86,Testing02,,2,,,_,TA,BLAR,_01.png,_02.png,,,,,BLAR_TA_01.png,BLAR_TU_02.png,BLAR_TA_02.png,,,,,,,,,BLAR_TA_02.png,,,
