Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: CorrectAnswer,Manipulation: Spreadsheet,Store: correct,Store: total
1,1686658324358,13/06/2023 12:12:04,1686661924358,1,13/06/2023 14:12:04,136362,2,task-v6g5,,30033736,60fdcae3a24d22c1239262eb,8944400,,complete,,648868ac20882fd92bf8b6f8,computer,Desktop or Laptop,Windows 10,Firefox 114.0,1366x768,1366x643,,Singular-Plural Testing (Clone),1,Singular Plural Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1686658328924,13/06/2023 12:12:08,1686661928924,1,13/06/2023 14:12:08,136362,2,task-v6g5,,30033736,60fdcae3a24d22c1239262eb,8944400,,complete,,648868ac20882fd92bf8b6f8,computer,Desktop or Laptop,Windows 10,Firefox 114.0,1366x768,1366x643,,Singular-Plural Testing (Clone),1,Singular Plural Testing,1,Instructions,Instructions,g2b1f4,1,continue,,4551,4534.34,4551,4551,4534.34,4551,1,4551,0,0,,Click To Continue,Continue Button,2,object-79,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1686658341187,13/06/2023 12:12:21,1686661941187,1,13/06/2023 14:12:21,136362,2,task-v6g5,,30033736,60fdcae3a24d22c1239262eb,8944400,,complete,,648868ac20882fd92bf8b6f8,computer,Desktop or Laptop,Windows 10,Firefox 114.0,1366x768,1366x643,,Singular-Plural Testing (Clone),1,Singular Plural Testing,1,Testing,Testing,hvzr65,1,response,GOI_KE_BLAR_TA_02.png,12317.18,12302.84,12317.18,12317.18,12302.84,12317.18,1,12317.18,0,0,,Click Response,ResponseA,3,object-86,Testing,,1, ,GOI,_,KE,BLAR,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_BLAR_BLOT.png,GOI_KE_BLAR_TA_02.png,GOI_KE_BLAR_TU_02.png,,GOI_KE_BLAR_TA_02.png,,,
4,1686658346595,13/06/2023 12:12:26,1686661946595,1,13/06/2023 14:12:26,136362,2,task-v6g5,,30033736,60fdcae3a24d22c1239262eb,8944400,,complete,,648868ac20882fd92bf8b6f8,computer,Desktop or Laptop,Windows 10,Firefox 114.0,1366x768,1366x643,,Singular-Plural Testing (Clone),1,Singular Plural Testing,2,Testing,Testing,hvzr65,1,response,PAU_KE_STOO_TU_02.png,5417.920000000002,5401.240000000002,5417.920000000002,5417.920000000002,5401.240000000002,5417.920000000002,0,5417.920000000002,0,0,,Click Response,ResponseA,3,object-86,Testing,,1, ,PAU,_,KE,STOO,,_02.png,_BLOT.png,,,,,,,,,,PAU_KE_STOO_BLOT.png,PAU_KE_STOO_TU_02.png,PAU_KE_STOO_TI_02.png,,PAU_KE_STOO_TI_02.png,,,
5,1686658349601,13/06/2023 12:12:29,1686661949601,1,13/06/2023 14:12:29,136362,2,task-v6g5,,30033736,60fdcae3a24d22c1239262eb,8944400,,complete,,648868ac20882fd92bf8b6f8,computer,Desktop or Laptop,Windows 10,Firefox 114.0,1366x768,1366x643,,Singular-Plural Testing (Clone),1,Singular Plural Testing,3,Testing,Testing,hvzr65,1,response,PAU_KO_PHAI_TI_02.png,3028.0999999999985,3017.3799999999974,3028.0999999999985,3028.0999999999985,3017.3799999999974,3028.0999999999985,0,3028.0999999999985,0,0,,Click Response,ResponseB,4,object-85,Testing,,1, ,PAU,_,KO,PHAI,,_02.png,_BLOT.png,,,,,,,,,,PAU_KO_PHAI_BLOT.png,PAU_KO_PHAI_TU_02.png,PAU_KO_PHAI_TI_02.png,,PAU_KO_PHAI_TU_02.png,,,
6,1686658353872,13/06/2023 12:12:33,1686661953872,1,13/06/2023 14:12:33,136362,2,task-v6g5,,30033736,60fdcae3a24d22c1239262eb,8944400,,complete,,648868ac20882fd92bf8b6f8,computer,Desktop or Laptop,Windows 10,Firefox 114.0,1366x768,1366x643,,Singular-Plural Testing (Clone),1,Singular Plural Testing,4,Testing,Testing,hvzr65,1,response,GOI_KO_DREE_TU_02.png,4281.720000000001,4267.620000000003,4281.720000000001,4281.720000000001,4267.620000000003,4281.720000000001,1,4281.720000000001,0,0,,Click Response,ResponseB,4,object-85,Testing,,1, ,GOI,_,KO,DREE,,_02.png,_BLOT.png,,,,,,,,,,GOI_KO_DREE_BLOT.png,GOI_KO_DREE_TA_02.png,GOI_KO_DREE_TU_02.png,,GOI_KO_DREE_TU_02.png,,,
7,1686658355710,13/06/2023 12:12:35,1686661955710,1,13/06/2023 14:12:35,136362,2,task-v6g5,,30033736,60fdcae3a24d22c1239262eb,8944400,,complete,,648868ac20882fd92bf8b6f8,computer,Desktop or Laptop,Windows 10,Firefox 114.0,1366x768,1366x643,,Singular-Plural Testing (Clone),1,Singular Plural Testing,5,Testing,Testing,hvzr65,1,response,PAU_KE_CHOR_TI_02.png,1848.0999999999985,1833.7799999999988,1848.0999999999985,1848.0999999999985,1833.7799999999988,1848.0999999999985,0,1848.0999999999985,0,0,,Click Response,ResponseA,3,object-86,Testing,,1, ,PAU,_,KE,CHOR,,_02.png,_BLOT.png,,,,,,,,,,PAU_KE_CHOR_BLOT.png,PAU_KE_CHOR_TI_02.png,PAU_KE_CHOR_TA_02.png,,PAU_KE_CHOR_TA_02.png,,,
8,1686658359316,13/06/2023 12:12:39,1686661959316,1,13/06/2023 14:12:39,136362,2,task-v6g5,,30033736,60fdcae3a24d22c1239262eb,8944400,,complete,,648868ac20882fd92bf8b6f8,computer,Desktop or Laptop,Windows 10,Firefox 114.0,1366x768,1366x643,,Singular-Plural Testing (Clone),1,Singular Plural Testing,6,Testing,Testing,hvzr65,1,response,GOI_KE_SNUR_TA_02.png,3617.519999999997,3600.8399999999965,3617.519999999997,3617.519999999997,3600.8399999999965,3617.519999999997,0,3617.519999999997,0,0,,Click Response,ResponseB,4,object-85,Testing,,1, ,GOI,_,KE,SNUR,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_SNUR_BLOT.png,GOI_KE_SNUR_TI_02.png,GOI_KE_SNUR_TA_02.png,,GOI_KE_SNUR_TI_02.png,,,
9,1686658362064,13/06/2023 12:12:42,1686661962064,1,13/06/2023 14:12:42,136362,2,task-v6g5,,30033736,60fdcae3a24d22c1239262eb,8944400,,complete,,648868ac20882fd92bf8b6f8,computer,Desktop or Laptop,Windows 10,Firefox 114.0,1366x768,1366x643,,Singular-Plural Testing (Clone),1,Singular Plural Testing,7,Testing,Testing,hvzr65,1,response,GOI_KE_STOO_TA_02.png,2772.480000000003,2767.300000000003,2772.480000000003,2772.480000000003,2767.300000000003,2772.480000000003,1,2772.480000000003,0,0,,Click Response,ResponseB,4,object-85,Testing,,2, ,GOI,_,KE,STOO,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_STOO_BLOT.png,GOI_KE_STOO_TU_02.png,GOI_KE_STOO_TA_02.png,,GOI_KE_STOO_TA_02.png,,,
10,1686658364654,13/06/2023 12:12:44,1686661964654,1,13/06/2023 14:12:44,136362,2,task-v6g5,,30033736,60fdcae3a24d22c1239262eb,8944400,,complete,,648868ac20882fd92bf8b6f8,computer,Desktop or Laptop,Windows 10,Firefox 114.0,1366x768,1366x643,,Singular-Plural Testing (Clone),1,Singular Plural Testing,8,Testing,Testing,hvzr65,1,response,GOI_KE_PHAI_TA_02.png,2595.1800000000003,2583.980000000003,2595.1800000000003,2595.1800000000003,2583.980000000003,2595.1800000000003,0,2595.1800000000003,0,0,,Click Response,ResponseA,3,object-86,Testing,,2, ,GOI,_,KE,PHAI,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_PHAI_BLOT.png,GOI_KE_PHAI_TA_02.png,GOI_KE_PHAI_TI_02.png,,GOI_KE_PHAI_TI_02.png,,,
