Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: TestCorrectAnswer,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1686658222696,13/06/2023 12:10:22,1686661822696,1,13/06/2023 14:10:22,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1686658225782,13/06/2023 12:10:25,1686661825782,1,13/06/2023 14:10:25,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions1,l6tegj,1,continue,,3103.281,3086.7799999999997,3103.281,3103.281,3086.7799999999997,3103.281,1,3103.281,0,0,,Click To Continue,Continue Button,2,object-8,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1686658228550,13/06/2023 12:10:28,1686661828550,1,13/06/2023 14:10:28,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions2,m22b5k,2,continue,,2785.1009999046328,2769.358,2785.1009999046328,2785.1009999046328,2769.358,2785.1009999046328,1,2785.1009999046328,0,0,,Click To Continue,Continue Button,2,object-26,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1686658229579,13/06/2023 12:10:29,1686661829579,1,13/06/2023 14:10:29,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions3,1nixcc,3,continue,,1045.5429999761582,1034.563,1045.5429999761582,1045.5429999761582,1034.563,1045.5429999761582,1,1045.5429999761582,0,0,,Click To Continue,Continue Button,2,object-126,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1686658231442,13/06/2023 12:10:31,1686661831442,1,13/06/2023 14:10:31,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions4,8v99zt,4,continue,,1873.1799999046325,1868.6669999999995,1873.1799999046325,1873.1799999046325,1868.6669999999995,1873.1799999046325,1,1873.1799999046325,0,0,,Click To Continue,Continue Button,2,object-122,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1686658234177,13/06/2023 12:10:34,1686661834177,1,13/06/2023 14:10:34,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions5,ipt5mm,5,continue,,2740.2129999523167,2736.3860000000004,2740.2129999523167,2740.2129999523167,2736.3860000000004,2740.2129999523167,1,2740.2129999523167,0,0,,Click To Continue,Continue Button,2,object-32,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1686658237358,13/06/2023 12:10:37,1686661837358,1,13/06/2023 14:10:37,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions6,9ur7d5,6,continue,,3184.8269999523163,3170.1580000000013,3184.8269999523163,3184.8269999523163,3170.1580000000013,3184.8269999523163,1,3184.8269999523163,0,0,,Click To Continue,Continue Button,2,object-91,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1686658245782,13/06/2023 12:10:45,1686661845782,1,13/06/2023 14:10:45,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,continue,,8437.968999904631,8426.309999999998,8437.968999904631,8437.968999904631,8426.309999999998,8437.968999904631,1,8437.968999904631,0,0,,Click To Continue,Continue Button,3,object-151,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1686658245786,13/06/2023 12:10:45,1686661845786,1,13/06/2023 14:10:45,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,response,20,3387.572,8426.309999999998,8442.268999976157,3387.572,8426.309999999998,8442.268999976157,1,3387.572,5054.696999976157,0,,Dropdown,Age,2,object-150,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1686658245787,13/06/2023 12:10:45,1686661845787,1,13/06/2023 14:10:45,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,response,Male,5255.749,8426.309999999998,8443.071999999996,5255.749,8426.309999999998,8443.071999999996,1,5255.749,3187.3229999999967,0,,Dropdown,Gender,5,object-154,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1686658245788,13/06/2023 12:10:45,1686661845788,1,13/06/2023 14:10:45,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,response,Right-handed,7458.566999999999,8426.309999999998,8443.071999999996,7458.566999999999,8426.309999999998,8443.071999999996,1,7458.566999999999,984.5049999999974,0,,Dropdown,Handedness,7,object-156,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
