Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: TestCorrectAnswer,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1686658394186,13/06/2023 12:13:14,1686661994186,1,13/06/2023 14:13:14,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1686658404325,13/06/2023 12:13:24,1686662004325,1,13/06/2023 14:13:24,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,1,Instructions,Instructions,l6tegj,1,continue,,10151.56,10143.42,10151.56,10151.56,10143.42,10151.56,1,10151.56,0,0,,Click To Continue,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1686658413899,13/06/2023 12:13:33,1686662013899,1,13/06/2023 14:13:33,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,1,Training,Training,34efq7,1,response,PAUKO CHORTU,3703.66,9576.16,9581.14,3703.66,9576.16,9581.14,0,3703.66,5877.48,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,PAU,_,KO,CHOR,_01.png,_02.png,,,,,,,,PAU_KO_CHOR_TU_01.png,PAU_KO_CHOR_TU_02.png,PAUKO CHORTU!,,,,,,,,,
4,1686658418621,13/06/2023 12:13:38,1686662018621,1,13/06/2023 14:13:38,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,1,Training,Training,34efq7,1,response,PAUKO CHORTU!,3703.66,14297.48,14305.14,3703.66,14297.48,14305.14,1,3703.66,10601.48,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,PAU,_,KO,CHOR,_01.png,_02.png,,,,,,,,PAU_KO_CHOR_TU_01.png,PAU_KO_CHOR_TU_02.png,PAUKO CHORTU!,,,,,,,,,
5,1686658429157,13/06/2023 12:13:49,1686662029157,1,13/06/2023 14:13:49,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,2,Training,Training,34efq7,1,response,GOIKE BLARTA!,3286.619999999999,10527.140000000003,10542.66,3286.619999999999,10527.140000000003,10542.66,1,3286.619999999999,7256.040000000001,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,GOI,_,KE,BLAR,_01.png,_02.png,,,,,,,,GOI_KE_BLAR_TA_01.png,GOI_KE_BLAR_TA_02.png,GOIKE BLARTA!,,,,,,,,,
6,1686658439651,13/06/2023 12:13:59,1686662039651,1,13/06/2023 14:13:59,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,3,Training,Training,34efq7,1,response,GOIKE DREETI!,2919.5599999999977,10493.719999999994,10509.519999999997,2919.5599999999977,10493.719999999994,10509.519999999997,1,2919.5599999999977,7589.959999999999,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,GOI,_,KE,DREE,_01.png,_02.png,,,,,,,,GOI_KE_DREE_TI_01.png,GOI_KE_DREE_TI_02.png,GOIKE DREETI!,,,,,,,,,
7,1686658449274,13/06/2023 12:14:09,1686662049274,1,13/06/2023 14:14:09,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,4,Training,Training,34efq7,1,response,PAUKE PHAITA!,2318.980000000003,9626.200000000004,9639.800000000003,2318.980000000003,9626.200000000004,9639.800000000003,1,2318.980000000003,7320.82,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,PAU,_,KE,PHAI,_01.png,_02.png,,,,,,,,PAU_KE_PHAI_TA_01.png,PAU_KE_PHAI_TA_02.png,PAUKE PHAITA!,,,,,,,,,
8,1686658459918,13/06/2023 12:14:19,1686662059918,1,13/06/2023 14:14:19,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,5,Training,Training,34efq7,1,response,GOIKO SNURTU,3153.1399999999994,10643.900000000001,10657.599999999999,3153.1399999999994,10643.900000000001,10657.599999999999,0,3153.1399999999994,7504.459999999999,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,GOI,_,KO,SNUR,_01.png,_02.png,,,,,,,,GOI_KO_SNUR_TU_01.png,GOI_KO_SNUR_TU_02.png,GOIKO SNURTU!,,,,,,,,,
9,1686658462962,13/06/2023 12:14:22,1686662062962,1,13/06/2023 14:14:22,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,5,Training,Training,34efq7,1,response,GOIKO SNURTU!,3153.1399999999994,13696.96,13699.599999999999,3153.1399999999994,13696.96,13699.599999999999,1,3153.1399999999994,10546.46,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,GOI,_,KO,SNUR,_01.png,_02.png,,,,,,,,GOI_KO_SNUR_TU_01.png,GOI_KO_SNUR_TU_02.png,GOIKO SNURTU!,,,,,,,,,
10,1686658471936,13/06/2023 12:14:31,1686662071936,1,13/06/2023 14:14:31,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,6,Training,Training,34efq7,1,response,PAUKE STOOTI!,2752.720000000001,8975.559999999998,8977.64,2752.720000000001,8975.559999999998,8977.64,1,2752.720000000001,6224.919999999998,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,PAU,_,KE,STOO,_01.png,_02.png,,,,,,,,PAU_KE_STOO_TI_01.png,PAU_KE_STOO_TI_02.png,PAUKE STOOTI!,,,,,,,,,
