Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: CorrectAnswer,Spreadsheet: TestCorrectAnswer,Manipulation: Spreadsheet,Store: correct,Store: total
1,1686657551471,13/06/2023 11:59:11,1686661151471,1,13/06/2023 13:59:11,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1686657560258,13/06/2023 11:59:20,1686661160258,1,13/06/2023 13:59:20,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,1,Instructions02,Instructions02,g2b1f4,1,continue,,8843.459000095369,8836.081000000002,8843.459000095369,8843.459000095369,8836.081000000002,8843.459000095369,1,8843.459000095369,0,0,,Click To Continue,Continue Button,2,object-79,Instructions02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1686657562807,13/06/2023 11:59:22,1686661162807,1,13/06/2023 13:59:22,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,1,Testing02,Testing 02,hvzr65,1,response,CHOR_TU_02.png,2556.7880000000005,2540.1219999999994,2556.7880000000005,2556.7880000000005,2540.1219999999994,2556.7880000000005,0,2556.7880000000005,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,,_,TI,CHOR,_01.png,_02.png,,,,,CHOR_TI_01.png,CHOR_TU_02.png,CHOR_TI_02.png,,,,,,,,,CHOR_TI_02.png,,,
4,1686657565558,13/06/2023 11:59:25,1686661165558,1,13/06/2023 13:59:25,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,2,Testing02,Testing 02,hvzr65,1,response,DREE_TA_02.png,2768.756000095367,2752.459999999999,2768.756000095367,2768.756000095367,2752.459999999999,2768.756000095367,1,2768.756000095367,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,,_,TA,DREE,_01.png,_02.png,,,,,DREE_TA_01.png,DREE_TI_02.png,DREE_TA_02.png,,,,,,,,,DREE_TA_02.png,,,
5,1686657566985,13/06/2023 11:59:26,1686661166985,1,13/06/2023 13:59:26,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,3,Testing02,Testing 02,hvzr65,1,response,STOO_TU_02.png,1442.6960000715262,1436.1090000000004,1442.6960000715262,1442.6960000715262,1436.1090000000004,1442.6960000715262,1,1442.6960000715262,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,,_,TU,STOO,_01.png,_02.png,,,,,STOO_TU_01.png,STOO_TA_02.png,STOO_TU_02.png,,,,,,,,,STOO_TU_02.png,,,
6,1686657568456,13/06/2023 11:59:28,1686661168456,1,13/06/2023 13:59:28,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,4,Testing02,Testing 02,hvzr65,1,response,PHAI_TI_02.png,1477.2870000000003,1467.9900000000016,1477.2870000000003,1477.2870000000003,1467.9900000000016,1477.2870000000003,1,1477.2870000000003,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,,_,TI,PHAI,_01.png,_02.png,,,,,PHAI_TI_01.png,PHAI_TI_02.png,PHAI_TA_02.png,,,,,,,,,PHAI_TI_02.png,,,
7,1686657569829,13/06/2023 11:59:29,1686661169829,1,13/06/2023 13:59:29,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,5,Testing02,Testing 02,hvzr65,1,response,BLAR_TU_02.png,1382.5970000715242,1368.0649999999987,1382.5970000715242,1382.5970000715242,1368.0649999999987,1382.5970000715242,1,1382.5970000715242,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,,_,TU,BLAR,_01.png,_02.png,,,,,BLAR_TU_01.png,BLAR_TU_02.png,BLAR_TI_02.png,,,,,,,,,BLAR_TU_02.png,,,
8,1686657571307,13/06/2023 11:59:31,1686661171307,1,13/06/2023 13:59:31,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,6,Testing02,Testing 02,hvzr65,1,response,SNUR_TU_02.png,1493.1320000953674,1484.719000000001,1493.1320000953674,1493.1320000953674,1484.719000000001,1493.1320000953674,0,1493.1320000953674,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,,_,TA,SNUR,_01.png,_02.png,,,,,SNUR_TA_01.png,SNUR_TA_02.png,SNUR_TU_02.png,,,,,,,,,SNUR_TA_02.png,,,
9,1686657574252,13/06/2023 11:59:34,1686661174252,1,13/06/2023 13:59:34,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,7,Testing02,Testing 02,hvzr65,1,response,PHAI_TU_02.png,2951.3770000000004,2934.7109999999993,2951.3770000000004,2951.3770000000004,2934.7109999999993,2951.3770000000004,1,2951.3770000000004,0,0,,Click Response,ResponseB,4,object-85,Testing02,,2,,,_,TU,PHAI,_01.png,_02.png,,,,,PHAI_TU_01.png,PHAI_TI_02.png,PHAI_TU_02.png,,,,,,,,,PHAI_TU_02.png,,,
10,1686657576218,13/06/2023 11:59:36,1686661176218,1,13/06/2023 13:59:36,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,8,Testing02,Testing 02,hvzr65,1,response,STOO_TU_02.png,1984.5020000476834,1969.6159999999982,1984.5020000476834,1984.5020000476834,1969.6159999999982,1984.5020000476834,0,1984.5020000476834,0,0,,Click Response,ResponseB,4,object-85,Testing02,,2,,,_,TI,STOO,_01.png,_02.png,,,,,STOO_TI_01.png,STOO_TI_02.png,STOO_TU_02.png,,,,,,,,,STOO_TI_02.png,,,
