Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: TestCorrectAnswer,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1685030131323,25/05/2023 15:55:31,1685033731323,1,25/05/2023 17:55:31,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1685030132801,25/05/2023 15:55:32,1685033732801,1,25/05/2023 17:55:32,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,1,Instructions01,Instructions1,l6tegj,1,continue,,1510.84700000149,1500.6599999999999,1510.84700000149,1510.84700000149,1500.6599999999999,1510.84700000149,1,1510.84700000149,0,0,,Click To Continue,Continue Button,2,object-8,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1685030134293,25/05/2023 15:55:34,1685033734293,1,25/05/2023 17:55:34,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,1,Instructions01,Instructions2,m22b5k,2,continue,,1503.286999999255,1500.6599999999999,1503.286999999255,1503.286999999255,1500.6599999999999,1503.286999999255,1,1503.286999999255,0,0,,Click To Continue,Continue Button,2,object-26,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1685030135446,25/05/2023 15:55:35,1685033735446,1,25/05/2023 17:55:35,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,1,Instructions01,Instructions3,1nixcc,3,continue,,1154.8270000022353,1150.5059999999999,1154.8270000022353,1154.8270000022353,1150.5059999999999,1154.8270000022353,1,1154.8270000022353,0,0,,Click To Continue,Continue Button,2,object-126,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1685030138489,25/05/2023 15:55:38,1685033738489,1,25/05/2023 17:55:38,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,1,Instructions01,Instructions4,8v99zt,4,continue,,3048.120999999255,3034.6679999999997,3048.120999999255,3048.120999999255,3034.6679999999997,3048.120999999255,1,3048.120999999255,0,0,,Click To Continue,Continue Button,2,object-122,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1685030141122,25/05/2023 15:55:41,1685033741122,1,25/05/2023 17:55:41,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,1,Instructions01,Instructions5,ipt5mm,5,continue,,2645.9529999992556,2634.492,2645.9529999992556,2645.9529999992556,2634.492,2645.9529999992556,1,2645.9529999992556,0,0,,Click To Continue,Continue Button,2,object-32,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1685030141568,25/05/2023 15:55:41,1685033741568,1,25/05/2023 17:55:41,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,1,Instructions01,Instructions6,9ur7d5,6,continue,,457.2610000000004,445.83899999999994,457.2610000000004,457.2610000000004,445.83899999999994,457.2610000000004,1,457.2610000000004,0,0,,Click To Continue,Continue Button,2,object-91,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1685030147927,25/05/2023 15:55:47,1685033747927,1,25/05/2023 17:55:47,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,continue,,6369.467999999999,6352.794,6369.467999999999,6369.467999999999,6352.794,6369.467999999999,1,6369.467999999999,0,0,,Click To Continue,Continue Button,3,object-151,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1685030147928,25/05/2023 15:55:47,1685033747928,1,25/05/2023 17:55:47,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,response,27,2851.254000000001,6352.794,6369.467999999999,2851.254000000001,6352.794,6369.467999999999,1,2851.254000000001,3518.213999999998,0,,Dropdown,Age,2,object-150,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1685030147928,25/05/2023 15:55:47,1685033747928,1,25/05/2023 17:55:47,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,response,Male,4385.262000000001,6352.794,6369.467999999999,4385.262000000001,6352.794,6369.467999999999,1,4385.262000000001,1984.2059999999983,0,,Dropdown,Gender,5,object-154,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
