Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: CorrectAnswer,Manipulation: Spreadsheet,Store: correct,Store: total
1,1685029489352,25/05/2023 15:44:49,1685033089352,1,25/05/2023 17:44:49,128616,14,task-ftob,,29725256,628e18ccff49a5f28fe794ff,8844043,,complete,,646f8e050a63ea469ddc9e3a,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1318x697,,Dual-Plural Testing,13,Dual-Plural,Dual Plural Testing,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1685029493805,25/05/2023 15:44:53,1685033093805,1,25/05/2023 17:44:53,128616,14,task-ftob,,29725256,628e18ccff49a5f28fe794ff,8844043,,complete,,646f8e050a63ea469ddc9e3a,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1318x697,,Dual-Plural Testing,13,Dual-Plural,Dual Plural Testing,1,Instructions04,Instructions,g2b1f4,1,continue,,4493.048000000373,4482.991,4493.048000000373,4493.048000000373,4482.991,4493.048000000373,1,4493.048000000373,0,0,,Click To Continue,Continue Button,2,object-79,Instructions04,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1685029515100,25/05/2023 15:45:15,1685033115100,1,25/05/2023 17:45:15,128616,14,task-ftob,,29725256,628e18ccff49a5f28fe794ff,8844043,,complete,,646f8e050a63ea469ddc9e3a,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1318x697,,Dual-Plural Testing,13,Dual-Plural,Dual Plural Testing,1,Testing02,Testing,hvzr65,1,response,GOI_KO_BLAR_TA_02.png,21298.420000000002,21281.755,21298.420000000002,21298.420000000002,21281.755,21298.420000000002,1,21298.420000000002,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,GOI,_,KO,BLAR,,_02.png,_BLOT.png,,,,,,,,,,GOI_KO_BLAR_BLOT.png,GOI_KO_BLAR_TA_02.png,GOI_KO_BLAR_TU_02.png,,GOI_KO_BLAR_TA_02.png,,,
4,1685029526799,25/05/2023 15:45:26,1685033126799,1,25/05/2023 17:45:26,128616,14,task-ftob,,29725256,628e18ccff49a5f28fe794ff,8844043,,complete,,646f8e050a63ea469ddc9e3a,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1318x697,,Dual-Plural Testing,13,Dual-Plural,Dual Plural Testing,2,Testing02,Testing,hvzr65,1,response,PAU_KE_PHAI_TI_02.png,11723.102000001116,11716.039,11723.102000001116,11723.102000001116,11716.039,11723.102000001116,0,11723.102000001116,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,PAU,_,KE,PHAI,,_02.png,_BLOT.png,,,,,,,,,,PAU_KE_PHAI_BLOT.png,PAU_KE_PHAI_TU_02.png,PAU_KE_PHAI_TI_02.png,,PAU_KE_PHAI_TU_02.png,,,
5,1685029529786,25/05/2023 15:45:29,1685033129786,1,25/05/2023 17:45:29,128616,14,task-ftob,,29725256,628e18ccff49a5f28fe794ff,8844043,,complete,,646f8e050a63ea469ddc9e3a,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1318x697,,Dual-Plural Testing,13,Dual-Plural,Dual Plural Testing,3,Testing02,Testing,hvzr65,1,response,PAU_KE_STOO_TI_02.png,2993.76300000037,2983.5699999999997,2993.76300000037,2993.76300000037,2983.5699999999997,2993.76300000037,1,2993.76300000037,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,PAU,_,KE,STOO,,_02.png,_BLOT.png,,,,,,,,,,PAU_KE_STOO_BLOT.png,PAU_KE_STOO_TU_02.png,PAU_KE_STOO_TI_02.png,,PAU_KE_STOO_TI_02.png,,,
6,1685029533364,25/05/2023 15:45:33,1685033133364,1,25/05/2023 17:45:33,128616,14,task-ftob,,29725256,628e18ccff49a5f28fe794ff,8844043,,complete,,646f8e050a63ea469ddc9e3a,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1318x697,,Dual-Plural Testing,13,Dual-Plural,Dual Plural Testing,4,Testing02,Testing,hvzr65,1,response,PAU_KO_CHOR_TI_02.png,3588.393000001488,3583.112000000001,3588.393000001488,3588.393000001488,3583.112000000001,3588.393000001488,0,3588.393000001488,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,PAU,_,KO,CHOR,,_02.png,_BLOT.png,,,,,,,,,,PAU_KO_CHOR_BLOT.png,PAU_KO_CHOR_TI_02.png,PAU_KO_CHOR_TA_02.png,,PAU_KO_CHOR_TA_02.png,,,
7,1685029541847,25/05/2023 15:45:41,1685033141847,1,25/05/2023 17:45:41,128616,14,task-ftob,,29725256,628e18ccff49a5f28fe794ff,8844043,,complete,,646f8e050a63ea469ddc9e3a,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1318x697,,Dual-Plural Testing,13,Dual-Plural,Dual Plural Testing,5,Testing02,Testing,hvzr65,1,response,GOI_KE_SNUR_TA_02.png,8488.481000000742,8482.648999999998,8488.481000000742,8488.481000000742,8482.648999999998,8488.481000000742,0,8488.481000000742,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,GOI,_,KE,SNUR,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_SNUR_BLOT.png,GOI_KE_SNUR_TI_02.png,GOI_KE_SNUR_TA_02.png,,GOI_KE_SNUR_TI_02.png,,,
8,1685029543415,25/05/2023 15:45:43,1685033143415,1,25/05/2023 17:45:43,128616,14,task-ftob,,29725256,628e18ccff49a5f28fe794ff,8844043,,complete,,646f8e050a63ea469ddc9e3a,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1318x697,,Dual-Plural Testing,13,Dual-Plural,Dual Plural Testing,6,Testing02,Testing,hvzr65,1,response,GOI_KE_DREE_TA_02.png,1574.0319999999992,1566.9619999999995,1574.0319999999992,1574.0319999999992,1566.9619999999995,1574.0319999999992,0,1574.0319999999992,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,GOI,_,KE,DREE,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_DREE_BLOT.png,GOI_KE_DREE_TA_02.png,GOI_KE_DREE_TU_02.png,,GOI_KE_DREE_TU_02.png,,,
9,1685029545337,25/05/2023 15:45:45,1685033145337,1,25/05/2023 17:45:45,128616,14,task-ftob,,29725256,628e18ccff49a5f28fe794ff,8844043,,complete,,646f8e050a63ea469ddc9e3a,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1318x697,,Dual-Plural Testing,13,Dual-Plural,Dual Plural Testing,7,Testing02,Testing,hvzr65,1,response,GOI_KE_CHOR_TA_02.png,1928.2700000011173,1916.4819999999963,1928.2700000011173,1928.2700000011173,1916.4819999999963,1928.2700000011173,0,1928.2700000011173,0,0,,Click Response,ResponseB,4,object-85,Testing02,,2,,GOI,_,KE,CHOR,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_CHOR_BLOT.png,GOI_KE_CHOR_TU_02.png,GOI_KE_CHOR_TA_02.png,,GOI_KE_CHOR_TU_02.png,,,
10,1685029550455,25/05/2023 15:45:50,1685033150455,1,25/05/2023 17:45:50,128616,14,task-ftob,,29725256,628e18ccff49a5f28fe794ff,8844043,,complete,,646f8e050a63ea469ddc9e3a,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1318x697,,Dual-Plural Testing,13,Dual-Plural,Dual Plural Testing,8,Testing02,Testing,hvzr65,1,response,PAU_KO_BLAR_TI_02.png,5130.788000001121,5116.244000000006,5130.788000001121,5130.788000001121,5116.244000000006,5130.788000001121,0,5130.788000001121,0,0,,Click Response,ResponseB,4,object-85,Testing02,,2,,PAU,_,KO,BLAR,,_02.png,_BLOT.png,,,,,,,,,,PAU_KO_BLAR_BLOT.png,PAU_KO_BLAR_TA_02.png,PAU_KO_BLAR_TI_02.png,,PAU_KO_BLAR_TA_02.png,,,
