Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1685029513513,25/05/2023 15:45:13,1685033113513,1,25/05/2023 17:45:13,128616,14,task-58je,,29725262,BLIND,8844041,,complete,,646f8df9d6ca932885d54630,computer,Desktop or Laptop,Linux x86_64,Chrome 113.0.0.0,1369x591,1366x590,,End Screen,2,Singular-Plural,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685029514788,25/05/2023 15:45:14,1685033114788,1,25/05/2023 17:45:14,128616,14,task-58je,,29725262,BLIND,8844041,,complete,,646f8df9d6ca932885d54630,computer,Desktop or Laptop,Linux x86_64,Chrome 113.0.0.0,1369x591,1366x590,,End Screen,2,Singular-Plural,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,1306,1289,1306,1306,1289,1306,1,1306,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685029514791,25/05/2023 15:45:14,1685033114791,1,25/05/2023 17:45:14,128616,14,task-58je,,29725262,BLIND,8844041,,complete,,646f8df9d6ca932885d54630,computer,Desktop or Laptop,Linux x86_64,Chrome 113.0.0.0,1369x591,1366x590,,End Screen,2,Singular-Plural,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685030544617,25/05/2023 16:02:24,1685034144617,1,25/05/2023 18:02:24,128616,14,task-58je,,29725715,BLIND,8844135,,complete,,646f92088671d7cd7a0dae8b,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 113.0.0.0,1366x768,1366x649,,End Screen,2,Singular-Dual,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685030546845,25/05/2023 16:02:26,1685034146845,1,25/05/2023 18:02:26,128616,14,task-58je,,29725715,BLIND,8844135,,complete,,646f92088671d7cd7a0dae8b,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 113.0.0.0,1366x768,1366x649,,End Screen,2,Singular-Dual,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,2255.072999999441,2249.179,2255.072999999441,2255.072999999441,2249.179,2255.072999999441,1,2255.072999999441,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685030546848,25/05/2023 16:02:26,1685034146848,1,25/05/2023 18:02:26,128616,14,task-58je,,29725715,BLIND,8844135,,complete,,646f92088671d7cd7a0dae8b,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 113.0.0.0,1366x768,1366x649,,End Screen,2,Singular-Dual,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685030653203,25/05/2023 16:04:13,1685034253203,1,25/05/2023 18:04:13,128616,14,task-58je,,29725768,BLIND,8844133,,complete,,646f92288ddb7db4d0707a74,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1280x720,1280x569,,End Screen,2,Singular-Plural,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685030656415,25/05/2023 16:04:16,1685034256415,1,25/05/2023 18:04:16,128616,14,task-58je,,29725768,BLIND,8844133,,complete,,646f92288ddb7db4d0707a74,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1280x720,1280x569,,End Screen,2,Singular-Plural,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,3216.0339999999997,3199.496,3216.0339999999997,3216.0339999999997,3199.496,3216.0339999999997,1,3216.0339999999997,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685030656419,25/05/2023 16:04:16,1685034256419,1,25/05/2023 18:04:16,128616,14,task-58je,,29725768,BLIND,8844133,,complete,,646f92288ddb7db4d0707a74,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1280x720,1280x569,,End Screen,2,Singular-Plural,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685030696051,25/05/2023 16:04:56,1685034296051,1,25/05/2023 18:04:56,128616,14,task-58je,,29725789,BLIND,8844148,,complete,,646f9317778f47ccb3d54626,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1536x864,1536x714,,End Screen,2,Dual-Plural,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
