Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: TestCorrectAnswer,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1685030301611,25/05/2023 15:58:21,1685033901611,1,25/05/2023 17:58:21,128616,14,task-eg4y,,29725594,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1685030307485,25/05/2023 15:58:27,1685033907485,1,25/05/2023 17:58:27,128616,14,task-eg4y,,29725594,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,1,Instructions,Instructions,l6tegj,1,continue,,5882.016,5867.295,5882.016,5882.016,5867.295,5882.016,1,5882.016,0,0,,Click To Continue,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1685030319545,25/05/2023 15:58:39,1685033919545,1,25/05/2023 17:58:39,128616,14,task-eg4y,,29725594,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,1,Training,Training,34efq7,1,response,GOIKE DREETI!,4935.504000000001,12064.065,12079.174999999255,4935.504000000001,12064.065,12079.174999999255,1,4935.504000000001,7143.6709999992545,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,GOI,_,KE,DREE,_01.png,_02.png,,,,,,,,GOI_KE_DREE_TI_01.png,GOI_KE_DREE_TI_02.png,GOIKE DREETI!,,,,,,,,,
4,1685030332092,25/05/2023 15:58:52,1685033932092,1,25/05/2023 17:58:52,128616,14,task-eg4y,,29725594,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,2,Training,Training,34efq7,1,response,GOIKE SNURTU!,1800.7920000000013,12554.276000000002,12561.41,1800.7920000000013,12554.276000000002,12561.41,1,1800.7920000000013,10760.617999999999,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,GOI,_,KE,SNUR,_01.png,_02.png,,,,,,,,GOI_KE_SNUR_TU_01.png,GOI_KE_SNUR_TU_02.png,GOIKE SNURTU!,,,,,,,,,
5,1685030340796,25/05/2023 15:59:00,1685033940796,1,25/05/2023 17:59:00,128616,14,task-eg4y,,29725594,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,3,Training,Training,34efq7,1,response,GOIKO BLARTA!,1584.0299999999988,8701.320999999996,8711.333999999253,1584.0299999999988,8701.320999999996,8711.333999999253,1,1584.0299999999988,7127.303999999254,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,GOI,_,KO,BLAR,_01.png,_02.png,,,,,,,,GOI_KO_BLAR_TA_01.png,GOI_KO_BLAR_TA_02.png,GOIKO BLARTA!,,,,,,,,,
6,1685030349840,25/05/2023 15:59:09,1685033949840,1,25/05/2023 17:59:09,128616,14,task-eg4y,,29725594,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,4,Training,Training,34efq7,1,response,PAUKE CHORTU!,2067.576000000001,9035.926,9052.599999999999,2067.576000000001,9035.926,9052.599999999999,1,2067.576000000001,6985.023999999998,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,PAU,_,KE,CHOR,_01.png,_02.png,,,,,,,,PAU_KE_CHOR_TU_01.png,PAU_KE_CHOR_TU_02.png,PAUKE CHORTU!,,,,,,,,,
7,1685030358796,25/05/2023 15:59:18,1685033958796,1,25/05/2023 17:59:18,128616,14,task-eg4y,,29725594,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,5,Training,Training,34efq7,1,response,PAUKO PHAITA!,1067.1360000000059,8945.490000000005,8973.586999999257,1067.1360000000059,8945.490000000005,8973.586999999257,1,1067.1360000000059,7906.4509999992515,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,PAU,_,KO,PHAI,_01.png,_02.png,,,,,,,,PAU_KO_PHAI_TA_01.png,PAU_KO_PHAI_TA_02.png,PAUKO PHAITA!,,,,,,,,,
8,1685030367601,25/05/2023 15:59:27,1685033967601,1,25/05/2023 17:59:27,128616,14,task-eg4y,,29725594,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,6,Training,Training,34efq7,1,response,PAUKE STOOTI!,2267.663999999997,8820.546000000002,8832.396999999997,2267.663999999997,8820.546000000002,8832.396999999997,1,2267.663999999997,6564.733,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,PAU,_,KE,STOO,_01.png,_02.png,,,,,,,,PAU_KE_STOO_TI_01.png,PAU_KE_STOO_TI_02.png,PAUKE STOOTI!,,,,,,,,,
9,1685030377723,25/05/2023 15:59:37,1685033977723,1,25/05/2023 17:59:37,128616,14,task-eg4y,,29725594,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,7,Training,Training,34efq7,1,response,PAUKO DREETA!,1258.327999999994,10128.895999999993,10133.350999999995,1258.327999999994,10128.895999999993,10133.350999999995,1,1258.327999999994,8875.023000000001,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,PAU,_,KO,DREE,_01.png,_02.png,,,,,,,,PAU_KO_DREE_TA_01.png,PAU_KO_DREE_TA_02.png,PAUKO DREETA!,,,,,,,,,
10,1685030390615,25/05/2023 15:59:50,1685033990615,1,25/05/2023 17:59:50,128616,14,task-eg4y,,29725594,BLIND,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Dual-Plural Training,6,Dual-Plural,Dual Plural Training,8,Training,Training,34efq7,1,response,PAUKE SNURTI!,5192.796000000002,12879.603000000003,12896.277000000002,5192.796000000002,12879.603000000003,12896.277000000002,1,5192.796000000002,7703.481,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,PAU,_,KE,SNUR,_01.png,_02.png,,,,,,,,PAU_KE_SNUR_TI_01.png,PAU_KE_SNUR_TI_02.png,PAUKE SNURTI!,,,,,,,,,
