Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: TestCorrectAnswer,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1685029760452,25/05/2023 15:49:20,1685033360452,1,25/05/2023 17:49:20,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1685029841542,25/05/2023 15:50:41,1685033441542,1,25/05/2023 17:50:41,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,1,Instructions01,Instructions1,l6tegj,1,continue,,83336,83326,83336,83336,83326,83336,1,83336,0,0,,Click To Continue,Continue Button,2,object-8,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1685029843508,25/05/2023 15:50:43,1685033443508,1,25/05/2023 17:50:43,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,1,Instructions01,Instructions2,m22b5k,2,continue,,1976,1972,1976,1976,1972,1976,1,1976,0,0,,Click To Continue,Continue Button,2,object-26,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1685029844990,25/05/2023 15:50:44,1685033444990,1,25/05/2023 17:50:44,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,1,Instructions01,Instructions3,1nixcc,3,continue,,1487,1472,1487,1487,1472,1487,1,1487,0,0,,Click To Continue,Continue Button,2,object-126,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1685029846578,25/05/2023 15:50:46,1685033446578,1,25/05/2023 17:50:46,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,1,Instructions01,Instructions4,8v99zt,4,continue,,1602,1589,1602,1602,1589,1602,1,1602,0,0,,Click To Continue,Continue Button,2,object-122,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1685029848573,25/05/2023 15:50:48,1685033448573,1,25/05/2023 17:50:48,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,1,Instructions01,Instructions5,ipt5mm,5,continue,,2008,2005,2008,2008,2005,2008,1,2008,0,0,,Click To Continue,Continue Button,2,object-32,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1685029853282,25/05/2023 15:50:53,1685033453282,1,25/05/2023 17:50:53,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,1,Instructions01,Instructions6,9ur7d5,6,continue,,4712.000000000015,4699,4712.000000000015,4712.000000000015,4699,4712.000000000015,1,4712.000000000015,0,0,,Click To Continue,Continue Button,2,object-91,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1685029863234,25/05/2023 15:51:03,1685033463234,1,25/05/2023 17:51:03,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,continue,,9964,9963,9964,9964,9963,9964,1,9964,0,0,,Click To Continue,Continue Button,3,object-151,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1685029863236,25/05/2023 15:51:03,1685033463236,1,25/05/2023 17:51:03,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,response,26,4631,9963,9967,4631,9963,9967,1,4631,5336,0,,Dropdown,Age,2,object-150,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1685029863237,25/05/2023 15:51:03,1685033463237,1,25/05/2023 17:51:03,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,response,Female,7422,9963,9969,7422,9963,9969,1,7422,2547,0,,Dropdown,Gender,5,object-154,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1685029863237,25/05/2023 15:51:03,1685033463237,1,25/05/2023 17:51:03,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,response,Right-handed,9595,9963,9969,9595,9963,9969,1,9595,374,0,,Dropdown,Handedness,7,object-156,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1685029898949,25/05/2023 15:51:38,1685033498949,1,25/05/2023 17:51:38,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,1,Instructions01,Instructions8,q3gk2e,8,continue,,35719,35711,35719,35719,35711,35719,1,35719,0,0,,Click To Continue,Continue Button,2,object-75,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1685029906586,25/05/2023 15:51:46,1685033506586,1,25/05/2023 17:51:46,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,1,Training01,Training01,34efq7,1,response,dreeti,3543,7639,7645,3543,7639,7645,0,3543,4102,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,DREE,_01.png,_02.png,,DREE_TI_01.png,DREE_TI_02.png,DREETI,,,,,,,,,,,,,,,,,,
14,1685029908117,25/05/2023 15:51:48,1685033508117,1,25/05/2023 17:51:48,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,1,Training01,Training01,34efq7,1,response,dreeti,3543,9161,9176,3543,9161,9176,0,3543,5633,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,DREE,_01.png,_02.png,,DREE_TI_01.png,DREE_TI_02.png,DREETI,,,,,,,,,,,,,,,,,,
15,1685029909544,25/05/2023 15:51:49,1685033509544,1,25/05/2023 17:51:49,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,1,Training01,Training01,34efq7,1,response,dreeti,3543,10599,10603,3543,10599,10603,0,3543,7060,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,DREE,_01.png,_02.png,,DREE_TI_01.png,DREE_TI_02.png,DREETI,,,,,,,,,,,,,,,,,,
16,1685029917242,25/05/2023 15:51:57,1685033517242,1,25/05/2023 17:51:57,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,1,Training01,Training01,34efq7,1,response,DREETI,3543,18289,18301,3543,18289,18301,1,3543,14758,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,DREE,_01.png,_02.png,,DREE_TI_01.png,DREE_TI_02.png,DREETI,,,,,,,,,,,,,,,,,,
17,1685029923440,25/05/2023 15:52:03,1685033523440,1,25/05/2023 17:52:03,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,2,Training01,Training01,34efq7,1,response,PHAITI,2106,6203,6211,2106,6203,6211,1,2106,4105,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,PHAI,_01.png,_02.png,,PHAI_TI_01.png,PHAI_TI_02.png,PHAITI,,,,,,,,,,,,,,,,,,
18,1685029959147,25/05/2023 15:52:39,1685033559147,1,25/05/2023 17:52:39,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,3,Training01,Training01,34efq7,1,response,BLARTA,1687,35709,35716,1687,35709,35716,1,1687,34029,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1,,,,,BLAR,_01.png,_02.png,,BLAR_TA_01.png,BLAR_TA_02.png,BLARTA,,,,,,,,,,,,,,,,,,
19,1685029965320,25/05/2023 15:52:45,1685033565320,1,25/05/2023 17:52:45,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,4,Training01,Training01,34efq7,1,response,STOOTA,1571,6170,6180,1571,6170,6180,1,1571,4609,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,STOO,_01.png,_02.png,,STOO_TA_01.png,STOO_TA_02.png,STOOTA,,,,,,,,,,,,,,,,,,
20,1685029986603,25/05/2023 15:53:06,1685033586603,1,25/05/2023 17:53:06,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,5,Training01,Training01,34efq7,1,response,CHORTU,1538,21281,21293,1538,21281,21293,1,1538,19755,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,CHOR,_01.png,_02.png,,CHOR_TU_01.png,CHOR_TU_02.png,CHORTU,,,,,,,,,,,,,,,,,,
21,1685029990740,25/05/2023 15:53:10,1685033590740,1,25/05/2023 17:53:10,128616,14,task-m73r,,29725346,BLIND,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Noun-Number Training,27,Singular-Dual,Noun Number Training,6,Training01,Training01,34efq7,1,response,SNURTU,1456,4146,4149,1456,4146,4149,1,1456,2693,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,SNUR,_01.png,_02.png,,SNUR_TU_01.png,SNUR_TU_02.png,SNURTU,,,,,,,,,,,,,,,,,,
